iter	Passed	Remaining
0	0	825
1	1	760
2	2	744
3	2	719
4	3	703
5	4	691
6	4	680
7	5	683
8	6	676
9	6	678
10	7	676
11	8	675
12	8	672
13	9	666
14	10	665
15	10	664
16	11	664
17	12	663
18	12	660
19	13	661
20	14	660
21	14	658
22	15	655
23	16	653
24	16	650
25	17	650
26	17	648
27	18	647
28	19	645
29	19	644
30	20	642
31	21	641
32	21	640
33	22	639
34	23	637
35	23	635
36	24	634
37	24	632
38	25	631
39	26	631
40	26	631
41	27	630
42	28	629
43	28	627
44	29	625
45	30	625
46	30	624
47	31	623
48	32	622
49	32	621
50	33	619
51	33	619
52	34	618
53	35	618
54	35	617
55	36	617
56	37	615
57	37	615
58	38	615
59	39	613
60	39	613
61	40	612
62	41	611
63	41	611
64	42	610
65	43	609
66	43	608
67	44	603
68	44	603
69	45	602
70	46	602
71	46	601
72	47	601
73	47	600
74	48	602
75	49	601
76	50	600
77	50	600
78	51	599
79	52	598
80	52	598
81	53	597
82	53	596
83	54	595
84	55	592
85	55	592
86	56	589
87	56	588
88	57	588
89	58	587
90	58	587
91	59	586
92	60	585
93	60	585
94	61	584
95	62	584
96	62	583
97	63	582
98	63	582
99	64	581
100	65	580
101	65	577
102	66	576
103	66	575
104	67	575
105	68	574
106	68	574
107	69	573
108	70	572
109	70	571
110	71	569
111	71	568
112	72	567
113	72	566
114	73	565
115	74	564
116	74	563
117	75	562
118	75	560
119	76	560
120	77	559
121	77	558
122	77	555
123	78	554
124	79	553
125	79	552
126	80	552
127	80	549
128	81	548
129	81	547
130	82	547
131	83	547
132	83	546
133	84	545
134	85	544
135	85	543
136	86	542
137	86	541
138	87	540
139	87	540
140	88	539
141	89	538
142	89	537
143	90	536
144	90	535
145	91	534
146	92	533
147	92	532
148	93	532
149	93	531
150	94	531
151	95	530
152	95	529
153	96	528
154	96	527
155	97	527
156	98	527
157	98	526
158	99	525
159	99	524
160	100	524
161	101	523
162	101	522
163	102	521
164	102	521
165	103	520
166	104	519
167	104	518
168	105	518
169	105	517
170	106	516
171	107	515
172	107	514
173	108	514
174	108	513
175	109	512
176	110	512
177	110	511
178	112	516
179	113	516
180	113	514
181	114	514
182	115	514
183	115	513
184	116	513
185	117	513
186	118	513
187	118	513
188	119	513
189	120	514
190	121	514
191	122	514
192	123	514
193	123	514
194	124	514
195	125	513
196	126	514
197	127	514
198	127	514
199	128	513
200	129	513
201	129	512
202	130	511
203	130	511
204	131	510
205	132	510
206	133	509
207	133	509
208	134	508
209	135	507
210	135	507
211	136	507
212	137	506
213	137	506
214	138	505
215	139	504
216	139	504
217	140	503
